               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11294,            0.056267,             0.03522,           0.0082843,            0.008245,           0.0018679,          0.00037043,            0.097621,            0.042255,            0.029159,             0.00042,             0.00042,             0.09622
                   1,            0.092817,            0.065371,            0.026231,             0.10567,             0.11543,            0.095074,            0.020046,            0.075106,            0.038968,            0.020489,          0.00084981,          0.00084981,             0.09235
                   2,            0.073467,            0.054407,            0.021989,             0.81707,             0.19078,             0.17218,            0.039455,            0.060395,            0.030768,            0.016907,           0.0012789,           0.0012789,            0.088479
                   3,            0.065079,            0.047111,            0.020239,             0.78949,             0.17662,             0.11079,            0.024619,            0.064573,            0.025945,            0.016979,           0.0017066,           0.0017066,            0.084607
                   4,            0.070372,            0.043716,            0.019293,             0.87677,             0.21908,             0.22438,            0.073256,            0.053451,            0.025005,            0.016386,           0.0021324,           0.0021324,            0.080732
                   5,            0.065072,            0.043266,            0.018745,             0.48283,             0.37798,             0.18485,            0.048345,            0.057581,            0.023074,            0.015774,           0.0025558,           0.0025558,            0.076856
                   6,            0.061197,            0.041227,            0.016559,             0.54964,             0.47475,             0.32141,              0.1452,            0.059286,            0.021789,            0.014555,           0.0029761,           0.0029761,            0.072976
                   7,            0.058338,            0.038655,            0.014335,             0.62338,             0.46802,             0.35921,             0.14113,            0.049034,             0.02132,            0.012967,           0.0033928,           0.0033928,            0.069093
                   8,            0.056968,            0.039024,            0.011928,             0.73377,             0.48919,             0.45476,             0.21277,            0.040478,            0.020536,            0.011965,           0.0038054,           0.0038054,            0.065205
                   9,            0.054002,            0.036157,            0.010896,              0.7502,              0.4889,             0.43827,             0.12467,            0.047056,            0.019815,            0.011411,           0.0042133,           0.0042133,            0.061313
                  10,            0.052052,            0.035386,           0.0099394,             0.82229,             0.48582,             0.50366,             0.27421,            0.035787,            0.019924,             0.01108,            0.004616,            0.004616,            0.057416
                  11,            0.051329,            0.034603,           0.0095607,             0.69511,              0.4415,             0.41932,             0.19727,            0.043431,            0.019756,            0.011197,            0.005013,            0.005013,            0.053513
                  12,            0.054777,            0.034471,            0.008944,             0.89093,             0.43802,             0.49928,              0.2488,            0.040609,            0.019464,            0.011391,           0.0054037,           0.0054037,            0.049604
                  13,            0.054392,            0.037457,           0.0091661,             0.79003,             0.40453,             0.46405,             0.21129,            0.043379,            0.019484,            0.011025,           0.0057876,           0.0057876,            0.045688
                  14,            0.049099,            0.033881,           0.0086166,             0.71176,             0.56549,             0.49545,             0.22923,            0.036269,            0.018618,             0.01036,           0.0061642,           0.0061642,            0.041764
                  15,            0.048571,            0.034141,           0.0085375,              0.7991,              0.5238,             0.52247,             0.28536,            0.036719,            0.018383,            0.010276,            0.006533,            0.006533,            0.037833
                  16,            0.044373,               0.032,            0.008046,             0.73319,             0.47844,             0.46649,             0.22784,            0.040579,            0.018643,            0.010454,           0.0068937,           0.0068937,            0.033894
                  17,            0.045354,            0.033643,           0.0080281,             0.90963,             0.52798,             0.56733,             0.32492,            0.032131,            0.017722,           0.0098398,           0.0072456,           0.0072456,            0.029946
                  18,            0.043607,            0.032292,           0.0076039,             0.84629,             0.52965,             0.56936,             0.26141,            0.038988,            0.017816,           0.0085138,           0.0075884,           0.0075884,            0.025988
                  19,            0.045915,            0.033434,           0.0076252,             0.87002,             0.53809,             0.54215,             0.21098,            0.040853,            0.018355,           0.0094861,           0.0079216,           0.0079216,            0.022022
                  20,            0.043735,            0.032201,           0.0067364,             0.86875,             0.56353,             0.57128,             0.31485,            0.033963,            0.017513,           0.0094758,           0.0082448,           0.0082448,            0.018045
                  21,            0.045735,            0.032429,           0.0072951,             0.87833,             0.53456,              0.5597,             0.31909,            0.034004,            0.017693,           0.0089547,           0.0085576,           0.0085576,            0.014058
                  22,            0.044865,            0.033617,           0.0067462,              0.8258,             0.52356,             0.56631,             0.30006,             0.03511,             0.01827,           0.0086423,           0.0088597,           0.0088597,             0.01006
                  23,            0.044223,            0.032471,           0.0071039,              0.9091,             0.50899,             0.60882,             0.33896,            0.033207,             0.01818,              0.0105,           0.0088755,           0.0088755,           0.0088755
                  24,            0.039753,            0.031428,           0.0065186,             0.76399,             0.64711,             0.64146,             0.38291,            0.033645,            0.018098,           0.0090126,           0.0088755,           0.0088755,           0.0088755
                  25,            0.039959,            0.030591,           0.0063514,             0.79121,             0.70481,             0.67716,             0.37973,            0.033006,            0.017706,           0.0084112,           0.0087804,           0.0087804,           0.0087804
                  26,            0.038721,            0.031491,           0.0060692,             0.67341,             0.69191,             0.67303,             0.41614,            0.032512,            0.017563,           0.0077861,            0.008682,            0.008682,            0.008682
                  27,            0.036945,            0.032043,           0.0056493,             0.83615,             0.68705,             0.69769,             0.43074,            0.029276,             0.01692,           0.0075482,           0.0085805,           0.0085805,           0.0085805
                  28,            0.033117,            0.029406,           0.0057012,             0.88328,             0.68226,             0.72268,             0.43645,            0.029215,              0.0166,             0.00713,           0.0084759,           0.0084759,           0.0084759
                  29,            0.035065,            0.029942,           0.0054044,             0.74583,             0.72184,             0.70023,             0.42086,            0.029405,            0.017078,            0.007051,           0.0083684,           0.0083684,           0.0083684
                  30,            0.034782,            0.030398,           0.0054121,             0.89307,             0.71654,             0.74788,             0.46189,            0.027908,            0.017428,           0.0062971,           0.0082581,           0.0082581,           0.0082581
                  31,             0.03395,             0.02963,           0.0052753,             0.95469,             0.67015,             0.75663,             0.47633,            0.028298,            0.017384,           0.0059956,            0.008145,            0.008145,            0.008145
